Nombre del Evento,Fecha del Evento
Biggest House Music + Tech House Party in Los Angeles! 18+,"11 de July, 10 pm"
Lust for Life:  Lana Del Rey Dance Party [Los Angeles],"11 de July, 09 pm"
Let It Happen: Tame Impala Dance Party [Los Angeles],"11 de July, 10 pm"
Electric Ave @ Los Globos (Los Angeles),"11 de July, 10 pm"
Dance Yourself Clean Pool Party (Los Angeles),"11 de July, 01 pm"
Social Overnight @ Los Globos (Los Angeles),"11 de July, 10 pm"
The Hustle: 70's Disco Party [Los Angeles],"11 de July, 09 pm"
Lil Supa en Los Angeles,"11 de July, 08 pm"
"Louie TheSinger - Desperado Tour (Meet + Greet ONLY) - Los Angeles, Ca","11 de July, 06 pm"
After Midnight: Chappell Roan Dance Party [Los Angeles],"11 de July, 09 pm"
JULY 21 - KRAMER USA TOUR - LOS ANGELES,"11 de July, 03 pm"
Tim Bluhm & The Coffis Brothers:: Gold Diggers :: Los Angeles 7/11,"11 de July, 09 pm"
"NATE THE GHOST WRITER PERFORMING LIVE IN ""THE LEVEL UP CONCERT"" LOS ANGELES","11 de July, 08 pm"
Stefflon Don - Island54 Tour (Los Angeles),"11 de July, 06 pm"
Quiere Perreo: Reggaeton & Hip-Hop Party in Los Angeles! 18+,"11 de July, 10 pm"
"Panteon Rococo, Los Fabulosos Cadillacs Tributos En Vivo En Los Angeles","11 de July, 09 pm"
Quiere Perreo: Reggaeton & Hip-Hop Party in Los Angeles! 18+,"11 de July, 10 pm"
I Love 2000s Hip-Hop & RnB Party in Los Angeles,"11 de July, 10 pm"
"LOS ANGELES - Very Majestic, Very Positive Tour","11 de July, 08 pm"
DIRTY MONDAYS LOS ANGELES,"11 de July, 09 pm"
